Instance,iteration,violations,cost,Institution,Rank
m01.json,3,0,3384,SDU,1.0
m01.json,8,0,3392,SDU,2.0
m01.json,9,0,3396,SDU,3.0
m01.json,2,0,3398,SDU,4.0
m01.json,1,0,3399,SDU,5.0
m01.json,4,0,3404,SDU,6.5
m01.json,10,0,3404,SDU,6.5
m01.json,6,0,3405,SDU,8.0
m01.json,5,0,3411,SDU,9.0
m01.json,8,0,3425,V777V,10.0
m01.json,20,0,3430,UGent,11.0
m01.json,7,0,3431,V777V,12.5
m01.json,10,0,3431,V777V,12.5
m01.json,17,0,3433,UGent,14.0
m01.json,5,0,3438,V777V,15.0
m01.json,7,0,3439,SDU,16.0
m01.json,23,0,3455,UGent,17.0
m01.json,2,0,3458,V777V,18.0
m01.json,18,0,3460,UGent,19.0
m01.json,4,0,3462,V777V,20.0
m01.json,25,0,3466,UGent,21.0
m01.json,1,0,3469,V777V,22.5
m01.json,6,0,3469,V777V,22.5
m01.json,22,0,3478,UGent,24.0
m01.json,19,0,3482,UGent,25.0
m01.json,3,0,3489,V777V,26.0
m01.json,9,0,3493,V777V,27.0
m01.json,21,0,3512,UGent,28.0
m01.json,16,0,3525,UGent,29.0
m01.json,1,0,3547,Ortec,34.5
m01.json,2,0,3547,Ortec,34.5
m01.json,3,0,3547,Ortec,34.5
m01.json,4,0,3547,Ortec,34.5
m01.json,5,0,3547,Ortec,34.5
m01.json,6,0,3547,Ortec,34.5
m01.json,7,0,3547,Ortec,34.5
m01.json,8,0,3547,Ortec,34.5
m01.json,9,0,3547,Ortec,34.5
m01.json,10,0,3547,Ortec,34.5
m01.json,24,0,3685,UGent,40.0
m01.json,1,0,13449,Twente,45.5
m01.json,2,0,13449,Twente,45.5
m01.json,3,0,13449,Twente,45.5
m01.json,4,0,13449,Twente,45.5
m01.json,5,0,13449,Twente,45.5
m01.json,6,0,13449,Twente,45.5
m01.json,7,0,13449,Twente,45.5
m01.json,8,0,13449,Twente,45.5
m01.json,9,0,13449,Twente,45.5
m01.json,10,0,13449,Twente,45.5
m02.json,3,0,12211,V777V,1.0
m02.json,2,0,12212,V777V,2.0
m02.json,4,0,12213,V777V,3.0
m02.json,1,0,12214,V777V,4.0
m02.json,18,0,12215,UGent,5.0
m02.json,10,0,12216,V777V,6.0
m02.json,9,0,12217,V777V,7.0
m02.json,6,0,12218,V777V,8.0
m02.json,7,0,12219,V777V,9.0
m02.json,5,0,12221,V777V,10.5
m02.json,8,0,12221,V777V,10.5
m02.json,20,0,12231,UGent,12.0
m02.json,24,0,12235,UGent,13.0
m02.json,1,0,12236,Twente,15.0
m02.json,3,0,12236,Twente,15.0
m02.json,4,0,12236,Twente,15.0
m02.json,2,0,12240,Twente,19.5
m02.json,5,0,12240,Twente,19.5
m02.json,7,0,12240,Twente,19.5
m02.json,8,0,12240,Twente,19.5
m02.json,9,0,12240,Twente,19.5
m02.json,10,0,12240,Twente,19.5
m02.json,6,0,12241,Twente,23.0
m02.json,2,0,12247,SDU,24.5
m02.json,22,0,12247,UGent,24.5
m02.json,1,0,12249,Ortec,31.0
m02.json,2,0,12249,Ortec,31.0
m02.json,3,0,12249,Ortec,31.0
m02.json,4,0,12249,Ortec,31.0
m02.json,5,0,12249,Ortec,31.0
m02.json,6,0,12249,Ortec,31.0
m02.json,7,0,12249,Ortec,31.0
m02.json,8,0,12249,Ortec,31.0
m02.json,9,0,12249,Ortec,31.0
m02.json,10,0,12249,Ortec,31.0
m02.json,23,0,12249,UGent,31.0
m02.json,25,0,12252,UGent,37.0
m02.json,21,0,12255,UGent,38.0
m02.json,7,0,12265,SDU,40.0
m02.json,16,0,12265,UGent,40.0
m02.json,17,0,12265,UGent,40.0
m02.json,19,0,12268,UGent,42.0
m02.json,9,0,12287,SDU,43.0
m02.json,1,0,12291,SDU,44.0
m02.json,4,0,12292,SDU,45.0
m02.json,5,0,12293,SDU,46.0
m02.json,8,0,12295,SDU,47.0
m02.json,6,0,12303,SDU,48.0
m02.json,3,0,12311,SDU,49.5
m02.json,10,0,12311,SDU,49.5
m03.json,9,0,6697,SDU,1.0
m03.json,1,0,6703,SDU,2.0
m03.json,3,0,6706,SDU,3.0
m03.json,6,0,6707,SDU,4.0
m03.json,10,0,6708,SDU,5.0
m03.json,8,0,6710,SDU,6.0
m03.json,4,0,6711,SDU,7.0
m03.json,2,0,6713,SDU,8.5
m03.json,7,0,6713,SDU,8.5
m03.json,5,0,6720,SDU,10.0
m03.json,23,0,6725,UGent,11.0
m03.json,24,0,6737,UGent,12.0
m03.json,2,0,6747,V777V,13.0
m03.json,9,0,6754,V777V,14.5
m03.json,25,0,6754,UGent,14.5
m03.json,1,0,6756,Twente,26.0
m03.json,2,0,6756,Twente,26.0
m03.json,3,0,6756,Twente,26.0
m03.json,4,0,6756,Twente,26.0
m03.json,5,0,6756,Twente,26.0
m03.json,6,0,6756,Twente,26.0
m03.json,7,0,6756,Twente,26.0
m03.json,8,0,6756,Twente,26.0
m03.json,9,0,6756,Twente,26.0
m03.json,10,0,6756,Twente,26.0
m03.json,1,0,6756,Ortec,26.0
m03.json,2,0,6756,Ortec,26.0
m03.json,3,0,6756,Ortec,26.0
m03.json,4,0,6756,Ortec,26.0
m03.json,5,0,6756,Ortec,26.0
m03.json,6,0,6756,Ortec,26.0
m03.json,7,0,6756,Ortec,26.0
m03.json,8,0,6756,Ortec,26.0
m03.json,9,0,6756,Ortec,26.0
m03.json,10,0,6756,Ortec,26.0
m03.json,1,0,6756,V777V,26.0
m03.json,17,0,6759,UGent,37.0
m03.json,19,0,6760,UGent,38.5
m03.json,21,0,6760,UGent,38.5
m03.json,8,0,6764,V777V,40.0
m03.json,5,0,6766,V777V,42.5
m03.json,6,0,6766,V777V,42.5
m03.json,10,0,6766,V777V,42.5
m03.json,18,0,6766,UGent,42.5
m03.json,16,0,6767,UGent,45.0
m03.json,7,0,6770,V777V,46.0
m03.json,4,0,6773,V777V,47.0
m03.json,20,0,6780,UGent,48.0
m03.json,22,0,6795,UGent,49.0
m03.json,3,0,6804,V777V,50.0
m04.json,2,0,3345,SDU,1.0
m04.json,9,0,3351,SDU,2.0
m04.json,3,0,3356,SDU,3.0
m04.json,4,0,3360,SDU,4.5
m04.json,6,0,3360,SDU,4.5
m04.json,10,0,3362,SDU,6.0
m04.json,1,0,3369,SDU,7.0
m04.json,8,0,3377,SDU,8.0
m04.json,7,0,3399,SDU,9.0
m04.json,5,0,3406,SDU,10.0
m04.json,21,0,3420,UGent,11.0
m04.json,22,0,3452,UGent,12.0
m04.json,7,0,3456,V777V,13.0
m04.json,8,0,3486,V777V,14.0
m04.json,20,0,3498,UGent,15.0
m04.json,4,0,3504,V777V,16.0
m04.json,3,0,3510,V777V,17.0
m04.json,1,0,3513,V777V,18.0
m04.json,5,0,3519,V777V,19.0
m04.json,19,0,3520,UGent,20.0
m04.json,24,0,3521,UGent,21.0
m04.json,25,0,3524,UGent,22.0
m04.json,2,0,3525,V777V,23.0
m04.json,18,0,3526,UGent,24.0
m04.json,16,0,3531,UGent,25.0
m04.json,17,0,3534,UGent,26.0
m04.json,9,0,3546,V777V,27.0
m04.json,6,0,3551,V777V,28.0
m04.json,10,0,3560,V777V,29.0
m04.json,23,0,3750,UGent,30.0
m04.json,1,0,5486,Ortec,35.5
m04.json,2,0,5486,Ortec,35.5
m04.json,3,0,5486,Ortec,35.5
m04.json,4,0,5486,Ortec,35.5
m04.json,5,0,5486,Ortec,35.5
m04.json,6,0,5486,Ortec,35.5
m04.json,7,0,5486,Ortec,35.5
m04.json,8,0,5486,Ortec,35.5
m04.json,9,0,5486,Ortec,35.5
m04.json,10,0,5486,Ortec,35.5
m04.json,1,0,10039,Twente,43.0
m04.json,4,0,10039,Twente,43.0
m04.json,8,0,10039,Twente,43.0
m04.json,9,0,10039,Twente,43.0
m04.json,10,0,10039,Twente,43.0
m04.json,6,0,10040,Twente,46.5
m04.json,7,0,10040,Twente,46.5
m04.json,2,0,10137,Twente,48.5
m04.json,3,0,10137,Twente,48.5
m04.json,5,0,10809,Twente,50.0
m05.json,9,0,11956,V777V,1.0
m05.json,7,0,11963,V777V,2.0
m05.json,4,0,11966,V777V,3.0
m05.json,10,0,11969,V777V,4.0
m05.json,1,0,11970,V777V,5.0
m05.json,3,0,11972,V777V,6.0
m05.json,6,0,11990,V777V,7.0
m05.json,3,0,11992,Twente,8.5
m05.json,8,0,11992,Twente,8.5
m05.json,7,0,11993,Twente,10.5
m05.json,9,0,11993,Twente,10.5
m05.json,2,0,11994,Twente,12.0
m05.json,7,0,11995,SDU,13.0
m05.json,1,0,11998,Twente,15.0
m05.json,4,0,11998,Twente,15.0
m05.json,10,0,11998,Twente,15.0
m05.json,5,0,11999,Twente,17.5
m05.json,6,0,11999,Twente,17.5
m05.json,8,0,12000,V777V,19.0
m05.json,2,0,12002,V777V,20.0
m05.json,20,0,12010,UGent,21.0
m05.json,5,0,12018,V777V,22.0
m05.json,10,0,12020,SDU,23.0
m05.json,1,0,12023,SDU,24.0
m05.json,2,0,12037,SDU,25.0
m05.json,5,0,12040,SDU,26.0
m05.json,9,0,12044,SDU,27.0
m05.json,21,0,12060,UGent,28.0
m05.json,18,0,12070,UGent,29.0
m05.json,25,0,12073,UGent,30.0
m05.json,4,0,12078,SDU,31.0
m05.json,22,0,12080,UGent,32.0
m05.json,3,0,12087,SDU,33.0
m05.json,8,0,12091,SDU,34.0
m05.json,19,0,12110,UGent,35.0
m05.json,17,0,12114,UGent,36.0
m05.json,6,0,12125,SDU,37.0
m05.json,23,0,12126,UGent,38.0
m05.json,1,0,12131,Ortec,43.5
m05.json,2,0,12131,Ortec,43.5
m05.json,3,0,12131,Ortec,43.5
m05.json,4,0,12131,Ortec,43.5
m05.json,5,0,12131,Ortec,43.5
m05.json,6,0,12131,Ortec,43.5
m05.json,7,0,12131,Ortec,43.5
m05.json,8,0,12131,Ortec,43.5
m05.json,9,0,12131,Ortec,43.5
m05.json,10,0,12131,Ortec,43.5
m05.json,24,0,12400,UGent,49.0
m05.json,16,0,12461,UGent,50.0
m06.json,9,0,28250,V777V,1.0
m06.json,4,0,28265,Twente,2.0
m06.json,2,0,28290,V777V,3.0
m06.json,9,0,28300,Twente,4.0
m06.json,1,0,28310,Twente,10.5
m06.json,1,0,28310,Ortec,10.5
m06.json,2,0,28310,Ortec,10.5
m06.json,3,0,28310,Ortec,10.5
m06.json,4,0,28310,Ortec,10.5
m06.json,5,0,28310,Ortec,10.5
m06.json,6,0,28310,Ortec,10.5
m06.json,7,0,28310,Ortec,10.5
m06.json,8,0,28310,Ortec,10.5
m06.json,9,0,28310,Ortec,10.5
m06.json,10,0,28310,Ortec,10.5
m06.json,7,0,28310,V777V,10.5
m06.json,8,0,28315,V777V,17.0
m06.json,10,0,28320,Twente,18.0
m06.json,8,0,28325,Twente,19.5
m06.json,3,0,28325,V777V,19.5
m06.json,10,0,28350,V777V,21.0
m06.json,3,0,28360,Twente,22.5
m06.json,6,0,28360,V777V,22.5
m06.json,7,0,28385,Twente,24.5
m06.json,4,0,28385,V777V,24.5
m06.json,5,0,28395,V777V,26.0
m06.json,2,0,28420,Twente,27.0
m06.json,1,0,28430,V777V,28.0
m06.json,5,0,28445,Twente,29.0
m06.json,6,0,28465,Twente,30.0
