,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32
i01.json,8.0,32.0,26.0,24.0,3.0,4.0,13.0,17.0,15.0,1.0,11.5,23.0,9.0,11.5,19.0,31.0,21.0,25.0,29.0,20.0,10.0,7.0,28.0,2.0,22.0,18.0,14.0,16.0,27.0,5.0,30.0,6.0
i02.json,5.0,21.0,27.0,28.0,6.0,1.0,12.0,20.0,22.0,4.0,16.0,23.0,10.0,9.0,15.0,32.0,25.0,17.0,31.0,18.0,13.0,11.0,30.0,3.0,26.0,8.0,14.0,19.0,24.0,2.0,29.0,7.0
i03.json,5.0,25.0,29.0,28.0,10.0,1.5,12.0,21.0,7.0,4.0,16.0,19.0,9.0,14.0,23.0,32.0,17.0,22.0,31.0,18.0,8.0,6.0,27.0,1.5,24.0,15.0,20.0,11.0,26.0,3.0,30.0,13.0
i04.json,13.0,7.5,25.0,27.0,10.0,3.0,6.0,26.0,9.0,5.0,4.0,22.0,1.0,16.0,23.0,31.0,18.0,21.0,32.0,17.0,7.5,2.0,28.0,15.0,20.0,30.0,19.0,12.0,24.0,11.0,29.0,14.0
i05.json,6.0,19.0,26.0,27.0,11.0,9.0,5.0,28.0,7.5,2.0,13.0,22.0,4.0,15.0,23.0,31.0,14.0,25.0,32.0,17.0,10.0,3.0,29.0,1.0,20.0,12.0,21.0,16.0,24.0,7.5,30.0,18.0
i06.json,6.5,10.0,24.0,31.0,8.0,15.0,3.0,27.0,2.0,4.5,12.0,19.0,13.0,14.0,22.0,30.0,16.0,25.0,32.0,17.0,10.0,4.5,28.0,1.0,21.0,18.0,23.0,10.0,26.0,6.5,29.0,20.0
i07.json,5.0,7.0,26.0,27.0,9.0,1.0,12.0,32.0,13.0,6.0,14.0,23.0,11.0,15.0,21.0,28.0,20.0,19.0,31.0,18.0,3.0,10.0,29.0,8.0,24.0,16.0,22.0,17.0,25.0,2.0,30.0,4.0
i08.json,16.0,1.0,26.0,24.0,5.0,3.0,12.0,32.0,6.0,8.0,11.0,22.0,4.0,13.5,28.0,27.0,13.5,21.0,31.0,19.0,7.0,2.0,30.0,10.0,20.0,18.0,23.0,15.0,25.0,9.0,29.0,17.0
i09.json,13.0,21.0,26.0,24.0,3.0,1.0,10.0,32.0,5.0,4.0,12.0,14.0,8.0,17.0,28.0,29.0,16.0,23.0,31.0,20.0,6.0,7.0,27.0,9.0,19.0,18.0,22.0,15.0,25.0,2.0,30.0,11.0
i10.json,16.0,10.0,25.0,27.0,3.0,2.0,4.0,28.0,5.0,7.0,9.0,17.0,11.0,19.0,24.0,32.0,15.0,23.0,31.0,21.0,6.0,1.0,29.0,8.0,18.0,20.0,22.0,14.0,26.0,12.0,30.0,13.0
