,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32
i01.json,3892,9843,4515,4328,3847,3849,3941,3980,3958,3842,3936,4313,3905,3936,4015,5641,4084,4371,5171,4083,3922,3874,4824,3846,4225,3990,3949,3969,4527,3850,5217,3860
i02.json,1316,1574,1822,2302,1327,1264,1396,1560,1591,1309,1483,1757,1368,1353,1474,3567,1790,1502,3363,1528,1408,1377,3100,1301,1799,1350,1431,1557,1772,1285,2566,1334
i03.json,10530,11089,11425,11355,10560,10490,10570,10910,10540,10520,10610,10715,10555,10600,11005,12335,10680,11000,11837,10690,10550,10535,11330,10490,11024,10605,10725,10565,11245,10500,11535,10595
i04.json,2029,1949,2942,4026,1999,1911,1922,3317,1984,1921,1920,2467,1884,2103,2535,5033,2196,2462,6131,2151,1949,1895,4056,2063,2432,4577,2202,2015,2720,2000,4269,2034
i05.json,12841,13246,14956,16061,12927,12881,12840,16622,12862,12775,13019,13779,12836,13068,14048,18638,13026,14239,19078,13166,12905,12804,16912,12760,13521,12979,13608,13070,14144,12862,17839,13178
i06.json,10684,10688,11143,11993,10686,10728,10681,11449,10679,10683,10698,10833,10699,10727,11084,11692,10731,11151,12524,10738,10688,10683,11551,10671,10914,10756,11134,10688,11339,10684,11659,10842
i07.json,5342,5441,8209,8899,5465,5026,5536,16445,5552,5401,5715,6666,5535,5731,6386,11419,6061,6036,15404,5991,5326,5472,11991,5456,7073,5812,6505,5855,7457,5157,13230,5333
i08.json,7685,6291,11796,11653,6390,6363,7101,100000000,6453,6896,7040,9415,6375,7317,13648,12803,7317,9109,24932,8103,6716,6352,16897,7025,8533,8007,9567,7471,11742,6961,14596,7762
i09.json,7161,8288,11236,9691,6777,6682,7076,25070,6823,6812,7129,7198,6968,7732,11591,13916,7562,9628,24561,8110,6874,6883,11384,7036,7933,7904,8492,7247,10289,6708,14455,7089
i10.json,22190,21320,27270,27545,21065,20885,21095,29560,21105,21165,21295,22365,21350,22780,25915,35825,22185,24930,33610,23895,21140,20820,30080,21230,22725,23400,24310,21925,27405,21545,32955,21845
i11.json,25983,25958,28352,31265,25956,26203,25975,30671,25956,25968,25980,26335,25957,26720,28181,36786,26018,28540,33309,26572,25965,25954,27446,25938,26321,26613,27370,26472,28512,26440,32479,26209
i12.json,13389,13244,17128,17018,13275,12430,13566,100000000,13482,13310,13494,14984,13276,13260,14891,19739,14107,14301,24094,14347,12976,12897,21190,13463,16279,13969,15444,13833,100000000,12723,18887,13170
i13.json,20739,17705,25639,24673,18299,17865,18021,47315,17328,18102,18957,17393,17430,21044,26859,31632,19207,24279,38256,22963,17930,20173,24462,17949,19428,100000000,23687,19080,25314,17848,28879,19477
i14.json,10068,9813,14736,15157,9972,10065,10362,100000000,9987,9903,10120,10297,10521,10592,14412,19629,10795,11824,20952,11058,9872,10273,17515,10255,11610,11189,11902,10639,13563,9746,19208,10063
i15.json,13887,13755,19555,21197,13812,12486,14345,34141,14322,13754,14276,15511,13921,14468,21041,30072,16198,16507,32764,16366,13769,14273,28254,13981,14895,14277,15737,14932,17425,13428,31820,14005
i16.json,13142,10139,100000000,100000000,10670,10983,11722,100000000,12006,11791,10707,12585,11471,12786,100000000,17711,13721,15058,25067,15165,11079,10610,26146,12460,11950,100000000,15763,12624,100000000,11148,21510,11363
i17.json,48360,47405,64050,68235,50390,40535,49700,100000000,52195,45465,48475,51825,49460,49090,96295,95565,136590,54885,100000000,60255,52270,48760,81775,47635,153040,54695,56840,50375,59885,45230,108385,47550
i18.json,38017,37686,43439,46591,37705,39094,37800,100000000,37739,37720,38215,39773,37660,40034,46437,58383,38471,43527,52855,40635,37754,37680,45366,37827,40243,43684,42721,38516,42406,38423,54259,40115
i19.json,47466,46600,68863,100000000,46042,44587,56415,95950,46998,47464,50091,53464,48547,48793,68771,91572,74072,52662,100000000,56169,84735,47791,73382,47984,77644,56947,62460,65518,67750,45838,76216,51673
i20.json,33343,29098,100000000,42959,29668,30819,31127,100000000,30260,30173,30615,32482,29385,35095,100000000,49598,31651,37146,53644,35714,29515,29769,54742,31225,31774,100000000,37510,32755,100000000,31373,44924,31634
i21.json,28114,27046,37533,40598,27535,24703,29906,71667,27949,26833,29666,29604,28330,28318,49241,52621,65397,32198,55095,36675,29633,27296,46333,27514,31692,32882,32314,30628,34639,26061,55600,28151
i22.json,61177,48879,74042,80427,52431,47861,59828,100000000,56161,51228,60854,58742,48802,61954,100000000,116105,81611,67714,100000000,73323,89161,50325,124075,52834,109500,100000000,67738,61815,100000000,52818,99055,60828
i23.json,40621,38121,53426,100000000,38024,38870,49961,100000000,38175,39452,39492,45331,39496,41916,67895,69604,59667,47007,88901,48998,41601,39162,62882,38909,61001,53523,56441,56734,62319,37550,64186,42799
i24.json,35265,33221,41203,100000000,33280,35815,36544,100000000,33604,33976,33853,35538,33646,37933,100000000,46042,37819,39492,100000000,40743,45993,33701,60174,33764,55959,100000000,40652,36257,40763,33760,46039,35681
i25.json,12025,12079,17014,17142,12271,11859,13534,32442,12354,12073,13249,15071,12459,13043,21461,22486,14350,14294,26552,15248,13160,12661,22941,12735,15540,100000000,14978,13806,19158,11517,22901,12742
i26.json,72442,64969,89712,95995,67338,65091,79552,100000000,78172,67342,73012,75376,64613,73506,136026,145124,77952,82910,100000000,89943,161411,69468,118274,69374,149431,79219,80109,76955,89868,67214,137080,74125
i27.json,66010,60135,84578,100123,64784,51828,73103,100000000,66946,57891,61432,68645,53738,66877,163772,129740,115735,75497,100000000,79533,192459,58737,122121,57737,191282,78571,79204,68685,82304,60177,160605,69864
i28.json,75740,75600,85822,89853,75685,79571,78593,100000000,75648,75983,76210,77709,76433,79589,100000000,90573,81864,83705,101149,84213,78908,76281,90324,75662,80966,83116,83677,79489,88196,75172,93283,77805
i29.json,17757,13320,21876,22664,13674,12475,14355,100000000,13292,13249,16559,14345,15093,16098,40443,26950,54389,20509,33335,22238,16970,12893,27747,13564,15811,20818,19688,16085,21709,13472,31205,16645
i30.json,41624,39201,49264,53074,39617,37943,45900,100000000,37984,39772,40141,42027,39435,41099,65593,61084,50858,45936,100000000,49014,40110,38542,79442,40597,54353,100000000,49524,47850,61685,37967,62724,42133
